Agent_ID,Vehicle_Type,SoC_Pct,State,Connected_Node,V2G_Capable
EV_0109,Truck,95.8,Idle,T_058,True
EV_0110,SUV,64.9,Driving,T_015,True
EV_0111,SUV,33.0,Charging,T_003,False
EV_0112,Sedan,66.3,Charging,T_062,True
EV_0113,Sedan,38.8,Discharging,T_050,False
EV_0114,Motorcycle,97.9,Driving,T_074,True
EV_0115,Sedan,46.0,Driving,T_034,False
EV_0116,Sedan,71.7,Driving,T_083,False
EV_0117,Sedan,12.1,Driving,T_041,True
EV_0118,SUV,46.0,Idle,T_072,True
EV_0119,SUV,88.8,Idle,T_010,True
EV_0120,SUV,64.9,Charging,T_010,False
EV_0121,Sedan,50.0,Idle,T_076,True
EV_0122,Sedan,94.2,Driving,T_081,False
EV_0123,Truck,86.9,Idle,T_092,False
EV_0124,SUV,39.0,Idle,T_032,False
EV_0125,SUV,59.0,Charging,T_003,False
EV_0126,Minibus,54.1,Charging,T_096,False
EV_0127,Truck,66.9,Charging,T_059,False
EV_0128,Sedan,40.1,Charging,T_024,True
EV_0129,SUV,32.0,Driving,T_075,False
EV_0130,SUV,92.1,Idle,T_088,True
EV_0131,Sedan,93.1,Driving,T_028,False
EV_0132,Truck,85.9,Discharging,T_075,False
EV_0133,SUV,98.0,Charging,T_077,False
EV_0134,Truck,77.0,Charging,T_049,False
EV_0135,Truck,78.8,Driving,T_062,True
EV_0136,SUV,78.6,Charging,T_027,False
EV_0137,Motorcycle,53.3,Driving,T_091,False
EV_0138,SUV,51.1,Charging,T_096,False
EV_0139,Truck,31.6,Discharging,T_096,False
EV_0140,Sedan,68.0,Driving,T_072,False
EV_0141,SUV,36.0,Charging,T_005,False
EV_0142,SUV,33.2,Charging,T_036,True
EV_0143,Sedan,62.7,Driving,T_044,False
EV_0144,SUV,46.9,Charging,T_094,True
EV_0145,Motorcycle,29.7,Idle,T_054,False
EV_0146,SUV,83.4,Idle,T_053,False
EV_0147,Sedan,87.5,Charging,T_015,True
EV_0148,Sedan,25.1,Discharging,T_077,False
EV_0149,Sedan,10.7,Discharging,T_033,False
EV_0150,Sedan,40.3,Idle,T_009,True
EV_0151,Motorcycle,81.8,Driving,T_096,True
EV_0152,SUV,85.5,Charging,T_019,True
EV_0153,Sedan,22.4,Charging,T_002,True
EV_0154,SUV,79.7,Idle,T_008,False
EV_0155,Sedan,20.4,Driving,T_044,False
EV_0156,Sedan,45.1,Charging,T_010,True
EV_0157,Minibus,99.9,Charging,T_082,False
EV_0158,SUV,27.3,Idle,T_050,True
EV_0159,Motorcycle,23.9,Driving,T_032,False
EV_0160,SUV,48.1,Charging,T_001,False
EV_0161,SUV,65.8,Idle,T_047,False
EV_0162,Truck,94.0,Discharging,T_015,True
EV_0163,Motorcycle,98.3,Idle,T_095,False
EV_0164,Minibus,16.3,Charging,T_029,False
EV_0165,Motorcycle,22.4,Charging,T_047,True
EV_0166,Truck,81.2,Idle,T_002,True
EV_0167,Truck,34.4,Idle,T_013,True
EV_0168,Sedan,89.6,Driving,T_021,False
EV_0169,Minibus,69.7,Idle,T_006,False
EV_0170,SUV,20.1,Discharging,T_071,False
EV_0171,SUV,84.9,Driving,T_092,False
EV_0172,Minibus,25.9,Idle,T_096,False
EV_0173,Motorcycle,48.1,Idle,T_026,False
EV_0174,Motorcycle,59.7,Driving,T_077,True
EV_0175,Sedan,55.1,Charging,T_049,False
EV_0176,Minibus,71.8,Discharging,T_005,True
EV_0177,Minibus,68.7,Discharging,T_009,False
EV_0178,Sedan,99.3,Charging,T_054,False
EV_0179,Sedan,99.9,Idle,T_042,False
EV_0180,Sedan,56.5,Charging,T_001,False
EV_0181,Truck,18.6,Charging,T_091,False
EV_0182,SUV,75.5,Idle,T_071,False
EV_0183,Motorcycle,97.9,Charging,T_049,False
EV_0184,SUV,38.6,Discharging,T_096,True
EV_0185,Motorcycle,51.5,Driving,T_095,True
EV_0186,SUV,48.2,Driving,T_095,False
EV_0187,Truck,14.6,Charging,T_026,True
EV_0188,Sedan,70.5,Charging,T_086,False
EV_0189,SUV,41.8,Charging,T_049,True
EV_0190,Truck,80.9,Charging,T_071,True
EV_0191,Motorcycle,84.9,Driving,T_084,False
EV_0192,Truck,83.9,Idle,T_016,True
EV_0193,Sedan,47.5,Charging,T_044,False
EV_0194,SUV,38.9,Driving,T_013,False
EV_0195,Sedan,77.4,Idle,T_028,True
EV_0196,Sedan,82.1,Charging,T_041,False
EV_0197,Minibus,54.2,Charging,T_083,False
EV_0198,Minibus,90.4,Idle,T_084,False
EV_0199,Truck,23.0,Discharging,T_038,False
EV_0200,Truck,89.1,Charging,T_032,False
EV_0201,Minibus,18.6,Driving,T_052,False
EV_0202,Truck,23.8,Driving,T_089,False
EV_0203,Sedan,58.0,Driving,T_095,False
EV_0204,Sedan,16.1,Charging,T_022,False
EV_0205,SUV,14.8,Charging,T_019,False
EV_0206,Truck,10.0,Driving,T_069,False
EV_0207,Sedan,49.3,Idle,T_030,False
EV_0208,SUV,79.7,Idle,T_020,False
EV_0209,Minibus,13.1,Discharging,T_004,False
EV_0210,Sedan,68.7,Charging,T_040,True
EV_0211,SUV,84.1,Discharging,T_039,True
EV_0212,Truck,25.1,Driving,T_055,False
EV_0213,Minibus,23.2,Discharging,T_020,False
EV_0214,Sedan,87.5,Idle,T_070,False
EV_0215,Truck,84.1,Driving,T_066,True
EV_0216,Sedan,58.5,Idle,T_045,False
EV_0217,Truck,83.7,Discharging,T_018,False
EV_0218,Sedan,18.3,Driving,T_050,False
EV_0219,SUV,45.5,Discharging,T_066,False
EV_0220,SUV,76.4,Charging,T_037,False
EV_0221,Sedan,33.2,Charging,T_026,False
EV_0222,Truck,77.7,Charging,T_050,False
EV_0223,Sedan,55.4,Idle,T_035,False
EV_0224,Sedan,77.5,Idle,T_039,False
EV_0225,Sedan,51.8,Idle,T_034,False
EV_0226,Minibus,43.1,Idle,T_030,True
EV_0227,Truck,29.7,Discharging,T_070,True
EV_0228,Motorcycle,28.8,Driving,T_045,False
EV_0229,Sedan,77.6,Charging,T_046,False
EV_0230,SUV,20.7,Discharging,T_064,False
EV_0231,Sedan,17.7,Discharging,T_036,True
EV_0232,SUV,25.9,Idle,T_010,False
EV_0233,Motorcycle,25.8,Charging,T_083,True
EV_0234,Minibus,84.1,Discharging,T_006,False
EV_0235,SUV,45.9,Driving,T_056,False
EV_0236,SUV,99.1,Discharging,T_026,False
EV_0237,Motorcycle,22.3,Driving,T_021,False
EV_0238,SUV,68.8,Driving,T_005,False
EV_0239,Sedan,50.4,Idle,T_088,False
EV_0240,SUV,45.4,Idle,T_042,False
EV_0241,Sedan,88.8,Idle,T_034,False
EV_0242,Sedan,97.8,Driving,T_072,False
EV_0243,Sedan,88.6,Charging,T_004,False
EV_0244,SUV,27.3,Idle,T_055,True
EV_0245,SUV,29.9,Driving,T_048,True
EV_0246,Sedan,69.0,Charging,T_054,True
EV_0247,SUV,36.0,Discharging,T_013,False
EV_0248,Motorcycle,76.1,Idle,T_093,False
EV_0249,Truck,61.0,Driving,T_024,False
EV_0250,SUV,59.6,Driving,T_066,True
EV_0251,Sedan,84.6,Idle,T_073,True
EV_0252,Truck,73.9,Discharging,T_034,False
EV_0253,Sedan,12.4,Idle,T_013,False
EV_0254,Sedan,14.5,Idle,T_029,False
EV_0255,Motorcycle,64.1,Discharging,T_079,False
EV_0256,SUV,53.8,Driving,T_088,False
EV_0257,Minibus,33.4,Charging,T_091,True
EV_0258,SUV,47.7,Charging,T_022,False
EV_0259,Minibus,78.2,Discharging,T_059,False
EV_0260,Sedan,84.4,Idle,T_015,False
EV_0261,Sedan,60.5,Idle,T_069,True
EV_0262,Sedan,44.7,Charging,T_041,False
EV_0263,Sedan,34.4,Idle,T_070,False
EV_0264,Truck,57.0,Driving,T_067,False
EV_0265,Sedan,38.3,Charging,T_097,False
EV_0266,SUV,60.8,Idle,T_048,True
EV_0267,Truck,70.9,Driving,T_034,False
EV_0268,Truck,15.9,Charging,T_052,False
EV_0269,SUV,10.1,Discharging,T_016,True
EV_0270,SUV,29.1,Charging,T_011,False
EV_0271,Motorcycle,90.5,Driving,T_051,False
EV_0272,Minibus,68.2,Discharging,T_081,False
EV_0273,Truck,25.5,Driving,T_052,True
EV_0274,Motorcycle,90.1,Charging,T_076,True
EV_0275,Truck,52.3,Idle,T_018,False
EV_0276,Sedan,52.8,Discharging,T_044,False
EV_0277,SUV,94.2,Charging,T_060,False
EV_0278,Sedan,15.4,Charging,T_034,False
EV_0279,Minibus,29.4,Charging,T_002,False
EV_0280,Motorcycle,62.7,Driving,T_008,False
EV_0281,SUV,27.6,Discharging,T_090,True
EV_0282,SUV,71.2,Idle,T_059,True
EV_0283,Sedan,29.3,Discharging,T_026,True
EV_0284,Motorcycle,18.9,Idle,T_026,False
EV_0285,Sedan,28.6,Idle,T_004,True
EV_0286,Sedan,48.0,Idle,T_092,True
EV_0287,Sedan,25.9,Idle,T_011,False
EV_0288,Sedan,22.1,Charging,T_074,True
EV_0289,SUV,87.4,Driving,T_024,True
EV_0290,SUV,38.8,Driving,T_033,False
EV_0291,Sedan,42.5,Idle,T_027,False
EV_0292,Sedan,15.0,Idle,T_080,False
EV_0293,Sedan,42.2,Charging,T_004,False
EV_0294,SUV,33.8,Driving,T_035,True
EV_0295,Sedan,64.9,Driving,T_028,False
EV_0296,Minibus,28.5,Driving,T_027,False
EV_0297,Sedan,90.0,Idle,T_019,False
EV_0298,Sedan,93.7,Charging,T_089,False
EV_0299,SUV,19.0,Charging,T_037,False
EV_0300,SUV,19.7,Charging,T_041,False
EV_0301,Sedan,20.4,Charging,T_038,False
EV_0302,Sedan,65.8,Charging,T_096,True
EV_0303,Truck,21.0,Driving,T_033,False
EV_0304,Sedan,86.7,Charging,T_034,False
EV_0305,SUV,77.9,Charging,T_032,False
EV_0306,SUV,83.8,Driving,T_032,False
EV_0307,Sedan,57.3,Idle,T_009,True
EV_0308,SUV,99.7,Discharging,T_059,False
EV_0309,Truck,14.0,Idle,T_003,False
EV_0310,Truck,46.1,Driving,T_022,False
EV_0311,Sedan,39.2,Idle,T_020,False
EV_0312,Sedan,95.4,Idle,T_029,True
EV_0313,Sedan,61.9,Discharging,T_074,False
EV_0314,SUV,82.6,Idle,T_059,False
EV_0315,Minibus,25.3,Idle,T_097,False
EV_0316,Sedan,98.1,Idle,T_035,True
EV_0317,Sedan,54.9,Charging,T_091,False
EV_0318,Motorcycle,54.4,Discharging,T_005,True
EV_0319,Sedan,97.4,Charging,T_049,False
EV_0320,SUV,44.3,Charging,T_078,False
EV_0321,Minibus,45.8,Charging,T_052,False
EV_0322,Sedan,62.6,Driving,T_091,False
EV_0323,Sedan,21.5,Idle,T_031,True
EV_0324,Sedan,38.9,Discharging,T_004,False
EV_0325,Motorcycle,27.4,Driving,T_076,True
EV_0326,Sedan,19.3,Charging,T_007,True
EV_0327,Sedan,88.0,Discharging,T_075,False
EV_0328,Sedan,63.0,Idle,T_072,True
EV_0329,Sedan,42.3,Charging,T_082,False
EV_0330,SUV,46.8,Discharging,T_047,False
EV_0331,Sedan,48.8,Driving,T_087,False
EV_0332,SUV,67.0,Charging,T_017,False
EV_0333,SUV,93.4,Idle,T_043,False
EV_0334,Truck,94.0,Charging,T_012,False
EV_0335,Sedan,45.2,Idle,T_075,True
EV_0336,Truck,39.6,Idle,T_070,True
EV_0337,SUV,50.6,Idle,T_079,False
EV_0338,Sedan,61.1,Idle,T_075,False
EV_0339,Truck,51.6,Charging,T_030,True
EV_0340,Truck,69.3,Discharging,T_007,False
EV_0341,Sedan,59.9,Discharging,T_091,False
EV_0342,Motorcycle,38.9,Discharging,T_048,False
EV_0343,SUV,41.1,Charging,T_010,False
EV_0344,SUV,44.1,Idle,T_090,False
EV_0345,Motorcycle,18.5,Idle,T_097,False
EV_0346,SUV,24.9,Charging,T_044,False
EV_0347,Truck,75.1,Charging,T_075,True
EV_0348,Sedan,45.0,Idle,T_004,False
EV_0349,Truck,29.3,Discharging,T_010,True
EV_0350,SUV,60.6,Charging,T_027,False
EV_0351,Sedan,78.0,Driving,T_064,True
EV_0352,SUV,33.2,Idle,T_013,True
EV_0353,Sedan,84.4,Discharging,T_004,True
EV_0354,Sedan,93.5,Idle,T_065,False
EV_0355,Sedan,63.8,Idle,T_075,False
EV_0356,Sedan,70.2,Idle,T_072,True
EV_0357,Sedan,14.7,Driving,T_078,False
EV_0358,Sedan,95.1,Idle,T_078,False
EV_0359,Minibus,45.3,Idle,T_059,False
EV_0360,Minibus,93.2,Idle,T_051,False
EV_0361,Minibus,62.1,Discharging,T_084,False
EV_0362,Sedan,10.4,Charging,T_034,True
EV_0363,Truck,13.5,Idle,T_010,True
EV_0364,SUV,71.2,Idle,T_073,False
EV_0365,Sedan,60.6,Driving,T_027,True
EV_0366,Sedan,12.4,Idle,T_095,False
EV_0367,Minibus,76.9,Idle,T_041,False
EV_0368,Sedan,86.7,Driving,T_083,False
EV_0369,SUV,54.7,Idle,T_005,False
EV_0370,Motorcycle,51.9,Charging,T_064,False
EV_0371,Sedan,10.5,Charging,T_044,False
EV_0372,Sedan,80.8,Charging,T_045,False
EV_0373,Motorcycle,39.8,Charging,T_026,True
EV_0374,SUV,89.1,Idle,T_095,True
EV_0375,Sedan,43.6,Discharging,T_039,False
EV_0376,Truck,60.9,Discharging,T_083,True
EV_0377,Truck,34.3,Charging,T_042,False
EV_0378,SUV,24.5,Idle,T_005,False
EV_0379,SUV,79.7,Charging,T_086,False
EV_0380,Sedan,54.7,Driving,T_018,False
EV_0381,Sedan,58.3,Charging,T_027,False
EV_0382,SUV,96.9,Idle,T_084,False
EV_0383,Sedan,96.7,Idle,T_087,True
EV_0384,Minibus,87.0,Idle,T_089,False
EV_0385,Truck,26.9,Idle,T_042,True
EV_0386,Sedan,63.5,Discharging,T_074,False
EV_0387,SUV,89.0,Charging,T_032,False
EV_0388,Sedan,43.7,Driving,T_072,False
EV_0389,Truck,19.1,Idle,T_049,False
EV_0390,Sedan,83.0,Discharging,T_006,False
EV_0391,SUV,53.4,Driving,T_041,True
EV_0392,SUV,60.8,Driving,T_046,False
EV_0393,SUV,98.4,Charging,T_025,False
EV_0394,Minibus,64.6,Charging,T_037,False
EV_0395,Minibus,48.2,Charging,T_049,False
EV_0396,SUV,43.3,Charging,T_005,False
EV_0397,Truck,47.6,Idle,T_015,True
EV_0398,Motorcycle,20.7,Driving,T_075,True
EV_0399,SUV,81.5,Driving,T_035,True
EV_0400,SUV,85.4,Idle,T_060,False
EV_0401,Sedan,35.6,Idle,T_055,False
EV_0402,Truck,37.3,Driving,T_054,False
EV_0403,SUV,88.7,Driving,T_041,False
EV_0404,SUV,12.2,Charging,T_047,False
EV_0405,Sedan,56.8,Idle,T_080,False
EV_0406,Truck,51.7,Driving,T_094,True
EV_0407,SUV,72.1,Idle,T_025,False
EV_0408,Minibus,24.7,Idle,T_065,True
EV_0409,Sedan,70.1,Driving,T_095,False
EV_0410,Motorcycle,43.9,Driving,T_001,False
EV_0411,Sedan,65.7,Driving,T_077,False
EV_0412,Sedan,13.6,Discharging,T_049,False
EV_0413,Truck,51.6,Charging,T_094,True
EV_0414,Motorcycle,57.0,Idle,T_057,False
EV_0415,Sedan,29.3,Idle,T_082,False
EV_0416,SUV,22.6,Idle,T_017,False
EV_0417,Minibus,27.0,Idle,T_014,False
EV_0418,Truck,41.0,Idle,T_090,False
EV_0419,SUV,18.7,Idle,T_052,False
EV_0420,SUV,95.3,Discharging,T_055,False
EV_0421,Minibus,46.4,Idle,T_017,False
EV_0422,Minibus,82.8,Idle,T_022,False
EV_0423,Truck,97.7,Charging,T_080,False
EV_0424,SUV,17.3,Charging,T_030,False
EV_0425,Sedan,68.7,Driving,T_057,False
EV_0426,Motorcycle,88.4,Idle,T_031,False
EV_0427,Truck,67.1,Charging,T_026,True
EV_0428,Truck,48.6,Discharging,T_017,True
EV_0429,Sedan,48.8,Idle,T_091,False
EV_0430,Sedan,13.2,Charging,T_092,False
EV_0431,Minibus,58.1,Idle,T_012,False
EV_0432,Sedan,99.4,Charging,T_035,True
EV_0433,Motorcycle,96.3,Discharging,T_055,False
EV_0434,SUV,13.6,Charging,T_038,False
EV_0435,Minibus,73.5,Charging,T_070,False
EV_0436,Truck,37.2,Charging,T_026,True
EV_0437,SUV,91.3,Idle,T_006,False
EV_0438,Sedan,14.1,Charging,T_033,False
EV_0439,SUV,94.2,Driving,T_058,False
EV_0440,SUV,85.4,Charging,T_018,False
EV_0441,SUV,20.6,Idle,T_080,False
EV_0442,SUV,15.4,Idle,T_002,False
EV_0443,Motorcycle,85.1,Idle,T_007,False
EV_0444,SUV,24.0,Charging,T_050,False
EV_0445,Sedan,58.1,Driving,T_050,False
EV_0446,SUV,92.4,Driving,T_029,False
EV_0447,SUV,61.1,Charging,T_026,False
EV_0448,Sedan,45.8,Charging,T_007,False
EV_0449,Sedan,50.1,Driving,T_065,False
EV_0450,Minibus,15.7,Idle,T_037,False
EV_0451,Sedan,97.2,Charging,T_012,True
EV_0452,Motorcycle,38.0,Charging,T_039,False
EV_0453,Sedan,27.0,Discharging,T_091,True
EV_0454,Sedan,35.7,Discharging,T_026,False
EV_0455,Truck,96.8,Idle,T_087,True
EV_0456,Truck,18.5,Driving,T_026,False
EV_0457,Sedan,88.1,Idle,T_019,True
EV_0458,Sedan,73.7,Idle,T_026,False
EV_0459,Sedan,84.7,Idle,T_032,False
EV_0460,SUV,97.8,Idle,T_012,False
EV_0461,SUV,85.8,Charging,T_058,False
EV_0462,Sedan,94.9,Charging,T_033,False
EV_0463,Sedan,21.4,Idle,T_070,False
EV_0464,SUV,81.6,Discharging,T_048,True
EV_0465,Motorcycle,59.1,Charging,T_043,False
EV_0466,Minibus,58.9,Idle,T_046,True
EV_0467,SUV,90.9,Idle,T_016,False
EV_0468,Sedan,97.5,Idle,T_070,False
EV_0469,Sedan,73.4,Discharging,T_011,False
EV_0470,Sedan,53.5,Driving,T_070,False
EV_0471,Truck,51.1,Discharging,T_097,False
EV_0472,Truck,44.8,Charging,T_075,False
EV_0473,Motorcycle,42.5,Idle,T_045,False
EV_0474,Motorcycle,45.2,Idle,T_031,False
EV_0475,Motorcycle,18.1,Charging,T_085,False
EV_0476,Motorcycle,17.0,Charging,T_025,True
EV_0477,Sedan,80.2,Charging,T_047,True
EV_0478,Sedan,50.1,Idle,T_075,False
EV_0479,Sedan,93.8,Idle,T_090,False
EV_0480,SUV,65.1,Charging,T_090,True
EV_0481,Sedan,13.2,Driving,T_009,True
EV_0482,Truck,24.2,Driving,T_088,True
EV_0483,SUV,28.5,Charging,T_012,False
EV_0484,SUV,97.8,Driving,T_057,True
EV_0485,Sedan,29.7,Charging,T_091,False
EV_0486,Sedan,56.4,Driving,T_064,False
EV_0487,Sedan,94.3,Driving,T_092,True
EV_0488,Truck,97.9,Charging,T_034,False
EV_0489,SUV,31.3,Discharging,T_031,False
EV_0490,Minibus,14.4,Driving,T_032,False
EV_0491,Sedan,23.8,Driving,T_035,False
EV_0492,SUV,15.7,Driving,T_067,False
EV_0493,SUV,27.6,Idle,T_044,True
EV_0494,Truck,61.2,Charging,T_072,False
EV_0495,Truck,92.1,Driving,T_041,False
EV_0496,Sedan,58.3,Idle,T_030,True
EV_0497,Motorcycle,66.3,Idle,T_019,False
EV_0498,Sedan,28.2,Idle,T_054,False
EV_0499,Truck,82.1,Idle,T_088,True
EV_0500,Sedan,65.6,Charging,T_084,True
EV_0501,Sedan,87.8,Discharging,T_025,False
EV_0502,Truck,95.4,Charging,T_047,False
EV_0503,Sedan,41.3,Discharging,T_069,True
EV_0504,SUV,18.2,Driving,T_060,False
EV_0505,SUV,30.3,Idle,T_007,True
EV_0506,Sedan,49.4,Idle,T_058,False
EV_0507,Minibus,95.1,Idle,T_004,False
EV_0508,Truck,44.0,Driving,T_012,False
EV_0509,Truck,79.4,Discharging,T_064,True
EV_0510,Sedan,58.6,Idle,T_010,False
EV_0511,SUV,26.5,Charging,T_033,True
EV_0512,Sedan,38.9,Charging,T_058,False
